postcode,latitude,longitude
EC2A 4NE,51.525615,-0.083628
EC2Y 9DT,51.517943,-0.090177
N1 9PF,51.532935,-0.108567
N1 0QH,51.535509,-0.105346
N1 9PP,51.532863,-0.110058
EC1V 2NX,51.527304,-0.088894
N2 9ED,51.590861,-0.1644
N1 0PN,51.534813,-0.10513
N1 7AA,51.537534,-0.091592
N1 9PP,51.532863,-0.110058
E1 6JJ,51.52422,-0.076856
EC1V 2NX,51.527304,-0.088894
EC1A 2BN,51.516947,-0.104733
WC2E 9AB,51.512847,-0.126424
N1 7GU,51.530737,-0.09371
N1 0ES,51.536521,-0.110639
N1 9AG,51.534239,-0.121995
N1 9AY,51.533431,-0.117994
EC2Y 9DT,51.517943,-0.090177
N1 7GU,51.530737,-0.09371
N1 7GU,51.530737,-0.09371
E14 5RE,51.503692,-0.01491
N1 7GU,51.530737,-0.09371
N5 2ER,51.550531,-0.097308
N1 9HS,51.531913,-0.111003
NW1 8NZ,51.541973,-0.142186
W1J 6BD,51.509878,-0.144584
N1 1RA,51.540235,-0.102857
N1 2TU,51.538903,-0.102093
EC1V 2NX,51.527304,-0.088894
WC1N 3AX,51.520592,-0.12221
EC4N 7BP,51.511132,-0.087205
EC3M 1DT,51.510801,-0.08333
N2 9ED,51.590861,-0.1644
SE19 3XW,51.414394,-0.09799
SW1H 9HP,51.501007,-0.131145
N8 9BN,51.580801,-0.117478
E2 8HD,51.530321,-0.076512
W1A 6US,51.524565,-0.112042
NW1 3EE,51.52799,-0.13899
N14 6HF,51.633528,-0.126711
WC2H 9AB,51.514561,-0.125197
EC3V 4AB,51.513769,-0.082324
N1 6NG,51.527644,-0.07997
EC2A 4NE,51.525615,-0.083628
N1C 4AG,51.533481,-0.125043
N20 8QP,51.631804,-0.184132
NW5 1TL,51.553935,-0.144754
WC1B 3PS,51.518008,-0.127494
EC2A 4NE,51.525615,-0.083628
W1B 3HH,51.517327,-0.142383
N19 5DX,51.565179,-0.139319
E1W 1UN,51.507316,-0.073706
N1 0QH,51.535509,-0.105346
EC1V 2NX,51.527304,-0.088894
N4 2DW,51.563629,-0.102997
WC1A 2RP,51.518038,-0.122636
E14 5FW,51.504863,-0.018849
NW1 0TA,51.540586,-0.13712
EC3R 6AF,51.509142,-0.08481
EC2A 4NE,51.525615,-0.083628
W4 1PR,51.492924,-0.254467
N5 2EA,51.550481,-0.097904
N1 7GU,51.530737,-0.09371
N1 7GU,51.530737,-0.09371
N1 7GU,51.530737,-0.09371
N1 9QW,51.535332,-0.116687
EC1V 1AW,51.52825,-0.090109
WC2A 2JR,51.514455,-0.111772
EC2M 4PL,null,null
HA3 9XE,51.57942,-0.289849
W2 1AY,null,null
N16 8DL,51.553694,-0.077284
SW5 0BS,51.490079,-0.18843
WC2H 9JQ,51.514897,-0.123615
WC1X 9EN,51.530746,-0.114497
EC2N 2DG,51.516711,-0.086323
WC1E 6HA,51.519893,-0.130253
N1 9PD,51.532626,-0.107787
E1 1EG,51.515495,-0.06755
WC1N 3AF,51.520593,-0.12217
EC3A 8BF,51.514484,-0.080463
W6 7AP,51.494219,-0.225669
NW1 2SD,51.529748,-0.12387
N1 9ER,51.533387,-0.108736
E2 6GH,51.525204,-0.057425
WC2H 9JQ,51.514897,-0.123615
EC2N 2AT,51.514893,-0.086773
WC1B 5AA,51.520625,-0.122613
IG1 4QR,51.563397,0.069138
W1T 4SD,51.519486,-0.136353
SW6 7EN,51.480741,-0.200465
N1 7GU,51.530737,-0.09371
EC3V 4AB,51.513769,-0.082324
N8 0RL,51.582636,-0.100027
EC1Y 8AF,51.525177,-0.090295
E6 2JA,51.538987,0.051517
WC1E 7HU,51.520642,-0.128724
SE1 8DJ,51.506389,-0.106788
N2 0NL,51.584768,-0.161603
HA0 1BN,51.538716,-0.305622
SW9 6DE,51.480402,-0.110227
N1 7GU,51.530737,-0.09371
TW3 1SG,51.470845,-0.349338
N1 7GU,51.530737,-0.09371
WC1B 5AA,51.520625,-0.122613
